Top rotor RPM,Bottom rotor RPM,x/Diameter,z/Diameter,Top rotor thrust (N),Bottom rotor thrust (N),Top rotor torque (Nm),Bottom rotor torque (Nm),Mic1,Mic2,Mic3,Mic4,Mic5,Mic6,Mic7,Mic8,Mic9
12780.0,0.0,1.1,0.875,1.9402,0.034878,0.016482,0.00025949,53.643918,53.428352,55.320319000000005,56.93927500000001,55.279936,55.537091,55.77023799999999,53.643918,53.643918
17040.0,0.0,1.1,0.875,3.7354,0.12066,0.036488,0.00088056,59.913918,63.248352,60.420319000000006,64.429275,65.179936,63.007091,61.880238,59.913918,59.913918
0.0,12780.0,1.1,0.875,0.19231,0.028006,0.010028,0.00031436,57.503918,56.998352,56.010319,57.489275,57.66993599999999,57.277091,59.21023799999999,57.503918,57.503918
0.0,17040.0,1.1,0.875,0.26315,0.047732,0.012996,0.00041195,62.983918,60.648352,60.890319,63.529275,63.759936,64.287091,61.670238,62.983918,62.983918
12780.0,17040.0,1.1,0.875,1.7566,0.018679,0.01631,0.00010392,63.913918,62.56835199999999,62.470318999999996,64.949275,65.349936,65.31709099999999,64.090238,63.913918,63.913918
12780.0,12780.0,0.0,1.5,1.9106,0.14062,0.011021,0.0010331,68.433918,69.26835200000001,68.770319,70.339275,70.259936,69.907091,73.42023800000001,68.433918,68.433918
17040.0,17040.0,0.0,1.5,2.6649,0.21048,0.032141,0.0015399,77.12664527272727,77.69380654545454,76.83395536363638,79.1010931818182,78.78902690909091,78.70800009090908,82.33387436363635,77.12664527272727,77.12664527272727
17040.0,12780.0,0.0,1.5,3.3877,0.20835,0.032137,0.0015207,72.873918,73.33835200000001,73.040319,74.759275,74.43993599999999,74.127091,77.720238,72.873918,72.873918
12780.0,17040.0,0.0,1.5,0.63867,0.11508,0.015963,0.00080485,71.69028163636362,72.09380654545454,72.01577354545454,73.49200227272728,73.70720872727273,73.55345463636364,76.77932890909092,71.69028163636362,71.69028163636362
12780.0,12780.0,0.275,1.5,1.172,0.1511,0.0096659,0.0011996,65.463918,66.62835199999999,65.61031899999998,67.629275,67.539936,66.027091,70.43023799999999,65.463918,65.463918
